weights_rom_3x3 -- 12-bit Q2.9 BN-folded conv1 weights
 idx    f   c   r  col   hex   float_orig  float_quant       err
-----------------------------------------------------------------
   0    0   0   0    0   08D     0.276255     0.275391  0.000864
   1    0   0   0    1   027     0.075511     0.076172  0.000661
   2    0   0   0    2   FD0    -0.094172    -0.093750  0.000422
   3    0   0   1    0   002     0.003932     0.003906  0.000026
   4    0   0   1    1   ECD    -0.599038    -0.599609  0.000572
   5    0   0   1    2   FF5    -0.021633    -0.021484  0.000149
   6    0   0   2    0   FBD    -0.131398    -0.130859  0.000539
   7    0   0   2    1   027     0.075872     0.076172  0.000300
   8    0   0   2    2   0B3     0.350579     0.349609  0.000970
   9    0   1   0    0   122     0.566058     0.566406  0.000349
  10    0   1   0    1   02B     0.083214     0.083984  0.000770
  11    0   1   0    2   F9A    -0.198384    -0.199219  0.000835
  12    0   1   1    0   FED    -0.037147    -0.037109  0.000037
  13    0   1   1    1   E32    -0.902105    -0.902344  0.000239
  14    0   1   1    2   FCB    -0.103984    -0.103516  0.000469
  15    0   1   2    0   F98    -0.202976    -0.203125  0.000149
  16    0   1   2    1   014     0.038955     0.039062  0.000108
  17    0   1   2    2   12F     0.591896     0.591797  0.000099
  18    0   2   0    0   04D     0.150157     0.150391  0.000234
  19    0   2   0    1   02C     0.085604     0.085938  0.000334
  20    0   2   0    2   FDC    -0.070620    -0.070312  0.000307
  21    0   2   1    0   019     0.049252     0.048828  0.000423
  22    0   2   1    1   F4F    -0.346294    -0.345703  0.000591
  23    0   2   1    2   000     0.000881     0.000000  0.000881
  24    0   2   2    0   FD4    -0.086085    -0.085938  0.000148
  25    0   2   2    1   017     0.044211     0.044922  0.000711
  26    0   2   2    2   046     0.136192     0.136719  0.000527
  27    1   0   0    0   053     0.162440     0.162109  0.000330
  28    1   0   0    1   076     0.230605     0.230469  0.000136
  29    1   0   0    2   05C     0.179167     0.179688  0.000520
  30    1   0   1    0   010     0.030492     0.031250  0.000758
  31    1   0   1    1   015     0.040779     0.041016  0.000237
  32    1   0   1    2   00E     0.028126     0.027344  0.000782
  33    1   0   2    0   F9B    -0.197826    -0.197266  0.000560
  34    1   0   2    1   F70    -0.281461    -0.281250  0.000211
  35    1   0   2    2   F91    -0.216501    -0.216797  0.000296
  36    1   1   0    0   08D     0.274702     0.275391  0.000688
  37    1   1   0    1   0C0     0.375706     0.375000  0.000706
  38    1   1   0    2   096     0.293033     0.292969  0.000064
  39    1   1   1    0   012     0.036117     0.035156  0.000961
  40    1   1   1    1   012     0.035469     0.035156  0.000313
  41    1   1   1    2   00B     0.021430     0.021484  0.000054
  42    1   1   2    0   F67    -0.299165    -0.298828  0.000336
  43    1   1   2    1   F2A    -0.418033    -0.417969  0.000065
  44    1   1   2    2   F5E    -0.317190    -0.316406  0.000784
  45    1   2   0    0   01B     0.052894     0.052734  0.000159
  46    1   2   0    1   03A     0.112919     0.113281  0.000362
  47    1   2   0    2   01E     0.059146     0.058594  0.000552
  48    1   2   1    0   009     0.017401     0.017578  0.000177
  49    1   2   1    1   012     0.034205     0.035156  0.000951
  50    1   2   1    2   009     0.017910     0.017578  0.000332
  51    1   2   2    0   FDB    -0.073130    -0.072266  0.000864
  52    1   2   2    1   FB7    -0.142846    -0.142578  0.000268
  53    1   2   2    2   FD5    -0.083311    -0.083984  0.000674
  54    2   0   0    0   008     0.015614     0.015625  0.000011
  55    2   0   0    1   005     0.008815     0.009766  0.000950
  56    2   0   0    2   00B     0.022070     0.021484  0.000585
  57    2   0   1    0   008     0.014719     0.015625  0.000906
  58    2   0   1    1   005     0.008963     0.009766  0.000803
  59    2   0   1    2   00C     0.022788     0.023438  0.000650
  60    2   0   2    0   008     0.015823     0.015625  0.000198
  61    2   0   2    1   006     0.011479     0.011719  0.000239
  62    2   0   2    2   00D     0.025892     0.025391  0.000501
  63    2   1   0    0   00A     0.019404     0.019531  0.000128
  64    2   1   0    1   004     0.008017     0.007812  0.000205
  65    2   1   0    2   00C     0.022994     0.023438  0.000443
  66    2   1   1    0   008     0.015105     0.015625  0.000520
  67    2   1   1    1   002     0.004124     0.003906  0.000217
  68    2   1   1    2   00B     0.020871     0.021484  0.000614
  69    2   1   2    0   006     0.010759     0.011719  0.000960
  70    2   1   2    1   002     0.004636     0.003906  0.000730
  71    2   1   2    2   00D     0.024846     0.025391  0.000545
  72    2   2   0    0   005     0.009954     0.009766  0.000188
  73    2   2   0    1   FFF    -0.001147    -0.001953  0.000806
  74    2   2   0    2   009     0.016860     0.017578  0.000718
  75    2   2   1    0   002     0.004680     0.003906  0.000774
  76    2   2   1    1   FFB    -0.010117    -0.009766  0.000352
  77    2   2   1    2   004     0.006946     0.007812  0.000866
  78    2   2   2    0   005     0.010167     0.009766  0.000402
  79    2   2   2    1   000    -0.000364     0.000000  0.000364
  80    2   2   2    2   007     0.014435     0.013672  0.000763
  81    3   0   0    0   FEF    -0.033272    -0.033203  0.000069
  82    3   0   0    1   F65    -0.301875    -0.302734  0.000859
  83    3   0   0    2   FCF    -0.096108    -0.095703  0.000405
  84    3   0   1    0   097     0.294563     0.294922  0.000359
  85    3   0   1    1   005     0.009063     0.009766  0.000702
  86    3   0   1    2   F56    -0.331830    -0.332031  0.000201
  87    3   0   2    0   027     0.075427     0.076172  0.000744
  88    3   0   2    1   0A7     0.326585     0.326172  0.000413
  89    3   0   2    2   01C     0.054899     0.054688  0.000211
  90    3   1   0    0   FDF    -0.064886    -0.064453  0.000433
  91    3   1   0    1   F1B    -0.448230    -0.447266  0.000965
  92    3   1   0    2   F7D    -0.256032    -0.255859  0.000173
  93    3   1   1    0   0D9     0.423313     0.423828  0.000515
  94    3   1   1    1   018     0.046808     0.046875  0.000067
  95    3   1   1    2   F19    -0.452061    -0.451172  0.000889
  96    3   1   2    0   05A     0.175454     0.175781  0.000327
  97    3   1   2    1   0ED     0.462635     0.462891  0.000255
  98    3   1   2    2   030     0.094517     0.093750  0.000767
  99    3   2   0    0   FF4    -0.023795    -0.023438  0.000358
 100    3   2   0    1   FA9    -0.169131    -0.169922  0.000791
 101    3   2   0    2   FF1    -0.028664    -0.029297  0.000633
 102    3   2   1    0   05B     0.176799     0.177734  0.000935
 103    3   2   1    1   015     0.040169     0.041016  0.000846
 104    3   2   1    2   F9B    -0.197222    -0.197266  0.000044
 105    3   2   2    0   FF0    -0.031752    -0.031250  0.000502
 106    3   2   2    1   062     0.190860     0.191406  0.000546
 107    3   2   2    2   016     0.042842     0.042969  0.000127
 108    4   0   0    0   F84    -0.242767    -0.242188  0.000579
 109    4   0   0    1   F55    -0.333253    -0.333984  0.000731
 110    4   0   0    2   FCB    -0.104332    -0.103516  0.000817
 111    4   0   1    0   07A     0.237922     0.238281  0.000360
 112    4   0   1    1   131     0.596524     0.595703  0.000821
 113    4   0   1    2   0A8     0.327267     0.328125  0.000858
 114    4   0   2    0   FFC    -0.007805    -0.007812  0.000008
 115    4   0   2    1   F79    -0.264401    -0.263672  0.000729
 116    4   0   2    2   F9E    -0.191065    -0.191406  0.000342
 117    4   1   0    0   F36    -0.393660    -0.394531  0.000872
 118    4   1   0    1   F1F    -0.438483    -0.439453  0.000970
 119    4   1   0    2   FD0    -0.093621    -0.093750  0.000129
 120    4   1   1    0   0EA     0.457940     0.457031  0.000908
 121    4   1   1    1   1F2     0.972043     0.972656  0.000613
 122    4   1   1    2   102     0.503818     0.503906  0.000089
 123    4   1   2    0   FD6    -0.081834    -0.082031  0.000197
 124    4   1   2    1   F16    -0.456982    -0.457031  0.000050
 125    4   1   2    2   F19    -0.451323    -0.451172  0.000151
 126    4   2   0    0   FC8    -0.109793    -0.109375  0.000418
 127    4   2   0    1   F9B    -0.196757    -0.197266  0.000509
 128    4   2   0    2   FF6    -0.019260    -0.019531  0.000271
 129    4   2   1    0   043     0.131748     0.130859  0.000889
 130    4   2   1    1   0D3     0.412790     0.412109  0.000681
 131    4   2   1    2   044     0.132072     0.132812  0.000741
 132    4   2   2    0   FF9    -0.014536    -0.013672  0.000864
 133    4   2   2    1   F9A    -0.199965    -0.199219  0.000747
 134    4   2   2    2   FC1    -0.122392    -0.123047  0.000655
 135    5   0   0    0   FD2    -0.090396    -0.089844  0.000553
 136    5   0   0    1   FD6    -0.082821    -0.082031  0.000790
 137    5   0   0    2   FE4    -0.054705    -0.054688  0.000018
 138    5   0   1    0   FD3    -0.086955    -0.087891  0.000936
 139    5   0   1    1   FD4    -0.086142    -0.085938  0.000204
 140    5   0   1    2   FD8    -0.077996    -0.078125  0.000129
 141    5   0   2    0   FDB    -0.072481    -0.072266  0.000216
 142    5   0   2    1   FD2    -0.089992    -0.089844  0.000149
 143    5   0   2    2   FCD    -0.100396    -0.099609  0.000787
 144    5   1   0    0   019     0.049194     0.048828  0.000365
 145    5   1   0    1   01B     0.052343     0.052734  0.000391
 146    5   1   0    2   016     0.043089     0.042969  0.000120
 147    5   1   1    0   01C     0.054023     0.054688  0.000665
 148    5   1   1    1   01E     0.057646     0.058594  0.000947
 149    5   1   1    2   01B     0.052608     0.052734  0.000127
 150    5   1   2    0   014     0.038468     0.039062  0.000595
 151    5   1   2    1   019     0.049481     0.048828  0.000653
 152    5   1   2    2   013     0.036574     0.037109  0.000535
 153    5   2   0    0   018     0.046480     0.046875  0.000395
 154    5   2   0    1   013     0.037170     0.037109  0.000060
 155    5   2   0    2   004     0.007645     0.007812  0.000168
 156    5   2   1    0   013     0.036728     0.037109  0.000381
 157    5   2   1    1   015     0.041113     0.041016  0.000098
 158    5   2   1    2   00E     0.027174     0.027344  0.000169
 159    5   2   2    0   00A     0.018765     0.019531  0.000766
 160    5   2   2    1   016     0.043945     0.042969  0.000977
 161    5   2   2    2   016     0.043469     0.042969  0.000500
 162    6   0   0    0   01B     0.052079     0.052734  0.000656
 163    6   0   0    1   006     0.010850     0.011719  0.000869
 164    6   0   0    2   00F     0.029429     0.029297  0.000132
 165    6   0   1    0   FCA    -0.105560    -0.105469  0.000091
 166    6   0   1    1   FDD    -0.068679    -0.068359  0.000320
 167    6   0   1    2   009     0.016921     0.017578  0.000657
 168    6   0   2    0   FAB    -0.165640    -0.166016  0.000376
 169    6   0   2    1   FCA    -0.105007    -0.105469  0.000462
 170    6   0   2    2   005     0.009710     0.009766  0.000055
 171    6   1   0    0   FF1    -0.028653    -0.029297  0.000644
 172    6   1   0    1   FFA    -0.012435    -0.011719  0.000716
 173    6   1   0    2   FF8    -0.015723    -0.015625  0.000098
 174    6   1   1    0   FAF    -0.157498    -0.158203  0.000705
 175    6   1   1    1   FDB    -0.072304    -0.072266  0.000039
 176    6   1   1    2   FFD    -0.006458    -0.005859  0.000598
 177    6   1   2    0   F8C    -0.225696    -0.226562  0.000867
 178    6   1   2    1   FC3    -0.120080    -0.119141  0.000940
 179    6   1   2    2   FF2    -0.027045    -0.027344  0.000299
 180    6   2   0    0   013     0.038042     0.037109  0.000933
 181    6   2   0    1   011     0.032744     0.033203  0.000459
 182    6   2   0    2   001     0.001538     0.001953  0.000415
 183    6   2   1    0   FE7    -0.049303    -0.048828  0.000475
 184    6   2   1    1   FFB    -0.010071    -0.009766  0.000305
 185    6   2   1    2   000     0.000486     0.000000  0.000486
 186    6   2   2    0   FCF    -0.096323    -0.095703  0.000620
 187    6   2   2    1   FEB    -0.041908    -0.041016  0.000892
 188    6   2   2    2   002     0.003031     0.003906  0.000875
 189    7   0   0    0   FF2    -0.027250    -0.027344  0.000094
 190    7   0   0    1   00E     0.027830     0.027344  0.000486
 191    7   0   0    2   FF3    -0.026314    -0.025391  0.000923
 192    7   0   1    0   00F     0.028566     0.029297  0.000730
 193    7   0   1    1   045     0.135600     0.134766  0.000835
 194    7   0   1    2   010     0.031973     0.031250  0.000723
 195    7   0   2    0   FFE    -0.003898    -0.003906  0.000008
 196    7   0   2    1   01E     0.058902     0.058594  0.000308
 197    7   0   2    2   FFF    -0.002248    -0.001953  0.000295
 198    7   1   0    0   FF5    -0.021961    -0.021484  0.000476
 199    7   1   0    1   015     0.040233     0.041016  0.000782
 200    7   1   0    2   FFD    -0.005579    -0.005859  0.000280
 201    7   1   1    0   010     0.031683     0.031250  0.000433
 202    7   1   1    1   04E     0.151719     0.152344  0.000625
 203    7   1   1    2   01B     0.051831     0.052734  0.000903
 204    7   1   2    0   007     0.012761     0.013672  0.000911
 205    7   1   2    1   027     0.076684     0.076172  0.000512
 206    7   1   2    2   00B     0.022101     0.021484  0.000616
 207    7   2   0    0   FED    -0.037461    -0.037109  0.000351
 208    7   2   0    1   007     0.013933     0.013672  0.000261
 209    7   2   0    2   FF4    -0.023634    -0.023438  0.000196
 210    7   2   1    0   007     0.014092     0.013672  0.000420
 211    7   2   1    1   03F     0.123802     0.123047  0.000755
 212    7   2   1    2   011     0.032737     0.033203  0.000466
 213    7   2   2    0   FF9    -0.013594    -0.013672  0.000078
 214    7   2   2    1   017     0.045143     0.044922  0.000221
 215    7   2   2    2   FFD    -0.005832    -0.005859  0.000027
 216    8   0   0    0   FFD    -0.005639    -0.005859  0.000221
 217    8   0   0    1   01F     0.060102     0.060547  0.000445
 218    8   0   0    2   013     0.036196     0.037109  0.000914
 219    8   0   1    0   01B     0.053098     0.052734  0.000364
 220    8   0   1    1   040     0.124335     0.125000  0.000665
 221    8   0   1    2   027     0.075533     0.076172  0.000639
 222    8   0   2    0   00B     0.021129     0.021484  0.000355
 223    8   0   2    1   028     0.077819     0.078125  0.000306
 224    8   0   2    2   014     0.038809     0.039062  0.000253
 225    8   1   0    0   FB5    -0.146177    -0.146484  0.000308
 226    8   1   0    1   F9D    -0.194073    -0.193359  0.000713
 227    8   1   0    2   FAF    -0.158445    -0.158203  0.000242
 228    8   1   1    0   FAB    -0.166656    -0.166016  0.000641
 229    8   1   1    1   F83    -0.243747    -0.244141  0.000393
 230    8   1   1    2   F96    -0.207911    -0.207031  0.000880
 231    8   1   2    0   FBB    -0.135597    -0.134766  0.000831
 232    8   1   2    1   F9A    -0.199483    -0.199219  0.000264
 233    8   1   2    2   FA8    -0.172099    -0.171875  0.000224
 234    8   2   0    0   051     0.157769     0.158203  0.000434
 235    8   2   0    1   048     0.140863     0.140625  0.000238
 236    8   2   0    2   045     0.134566     0.134766  0.000199
 237    8   2   1    0   042     0.129814     0.128906  0.000908
 238    8   2   1    1   03F     0.122578     0.123047  0.000469
 239    8   2   1    2   046     0.137496     0.136719  0.000777
 240    8   2   2    0   039     0.111350     0.111328  0.000022
 241    8   2   2    1   03F     0.122669     0.123047  0.000378
 242    8   2   2    2   048     0.140058     0.140625  0.000567
 243    9   0   0    0   FC7    -0.110744    -0.111328  0.000584
 244    9   0   0    1   FC4    -0.117067    -0.117188  0.000121
 245    9   0   0    2   FD4    -0.086834    -0.085938  0.000897
 246    9   0   1    0   FC7    -0.111799    -0.111328  0.000471
 247    9   0   1    1   FC0    -0.125107    -0.125000  0.000107
 248    9   0   1    2   FCA    -0.105535    -0.105469  0.000066
 249    9   0   2    0   FE8    -0.046559    -0.046875  0.000316
 250    9   0   2    1   FDD    -0.068085    -0.068359  0.000275
 251    9   0   2    2   FE8    -0.046595    -0.046875  0.000280
 252    9   1   0    0   041     0.126983     0.126953  0.000029
 253    9   1   0    1   05A     0.175229     0.175781  0.000553
 254    9   1   0    2   044     0.133612     0.132812  0.000800
 255    9   1   1    0   045     0.135225     0.134766  0.000459
 256    9   1   1    1   061     0.189305     0.189453  0.000148
 257    9   1   1    2   04C     0.149353     0.148438  0.000915
 258    9   1   2    0   02C     0.085462     0.085938  0.000475
 259    9   1   2    1   03F     0.122806     0.123047  0.000241
 260    9   1   2    2   02D     0.087553     0.087891  0.000337
 261    9   2   0    0   FFD    -0.006421    -0.005859  0.000561
 262    9   2   0    1   FDD    -0.067423    -0.068359  0.000936
 263    9   2   0    2   FED    -0.037184    -0.037109  0.000075
 264    9   2   1    0   FEF    -0.033679    -0.033203  0.000476
